Nº doc.cálc.,Cta.contrato,Contrato,Porción,PosDoc,CDoc,MA,FinPerCálc,Válido de,Validez a,CtdCálc,Cantidad cálculo,ContPorTmp,kwh
56780684262,600000175082,218183601,RP_01,000004,ZKWHV,,01/08/2022,15/07/2022,01/08/2022,"2,477",0.14840000000000,18.0000,18.14840000000000
56780684262,600000175082,218183601,RP_01,000005,ZKWHR,,01/08/2022,02/07/2022,14/07/2022,"3,999",0.30320000000000,13.0000,13.30320000000000
56780684262,600000175082,218183601,RP_01,000007,ZKW,,01/08/2022,02/07/2022,01/08/2022,24,0.46400000000000,31.0000,31.46400000000000
56780684262,600000175082,218183601,RP_01,000008,ZFP,,01/08/2022,02/07/2022,01/08/2022,0,0.91500000000000,31.0000,31.91500000000000
57380639202,600000175082,218183601,RP_01,000004,ZKW,,01/09/2022,02/08/2022,01/09/2022,24,0.48000000000000,31.0000,31.48000000000000
57380639202,600000175082,218183601,RP_01,000001,ZKWHP,,01/09/2022,02/08/2022,01/09/2022,"3,541",0.10000000000000,31.0000,31.10000000000000
57380639202,600000175082,218183601,RP_01,000002,ZKWHV,,01/09/2022,02/08/2022,01/09/2022,"4,207",0.50000000000000,31.0000,31.50000000000000
57380639202,600000175082,218183601,RP_01,000003,ZKWHR,,01/09/2022,02/08/2022,01/09/2022,"9,558",0.10000000000000,31.0000,31.10000000000000
57380639202,600000175082,218183601,RP_01,000005,ZFP,,01/09/2022,02/08/2022,01/09/2022,0,0.90500000000000,31.0000,31.90500000000000
56120849416,600000175082,218183601,RP_01,000001,ZKWHP,,01/10/2022,02/09/2022,01/10/2022,"3,452",0.00000000000000,30.0000,30.00000000000000
56120849416,600000175082,218183601,RP_01,000002,ZKWHV,,01/10/2022,02/09/2022,01/10/2022,"3,985",0.60000000000000,30.0000,30.60000000000000
56120849416,600000175082,218183601,RP_01,000003,ZKWHR,,01/10/2022,02/09/2022,01/10/2022,"9,160",0.60000000000000,30.0000,30.60000000000000
56120849416,600000175082,218183601,RP_01,000004,ZKW,,01/10/2022,02/09/2022,01/10/2022,24,0.37500000000000,30.0000,30.37500000000000
56120849416,600000175082,218183601,RP_01,000005,ZFP,,01/10/2022,02/09/2022,01/10/2022,0,0.89500000000000,30.0000,30.89500000000000
56720720317,600000175082,218183601,RP_01,000001,ZKWHP,,01/11/2022,02/10/2022,01/11/2022,"3,594",0.80000000000000,31.0000,31.80000000000000
56720720317,600000175082,218183601,RP_01,000002,ZKWHV,,01/11/2022,02/10/2022,01/11/2022,"3,835",0.40000000000000,31.0000,31.40000000000000
56720720317,600000175082,218183601,RP_01,000003,ZKWHR,,01/11/2022,02/10/2022,01/11/2022,"9,525",0.30000000000000,31.0000,31.30000000000000
56720720317,600000175082,218183601,RP_01,000004,ZKW,,01/11/2022,02/10/2022,01/11/2022,24,0.90700000000000,31.0000,31.90700000000000
56720720317,600000175082,218183601,RP_01,000005,ZFP,,01/11/2022,02/10/2022,01/11/2022,0,0.88800000000000,31.0000,31.88800000000000
57380553613,600000349723,218183701,RP_78,000001,ZKWH,,14/12/2021,16/11/2021,14/12/2021,"8,899",0.00000000000000,29.0000,29.00000000000000
57380553613,600000349723,218183701,RP_78,000002,ZKW,,14/12/2021,16/11/2021,14/12/2021,21,0.54000000000000,29.0000,29.54000000000000
57380553613,600000349723,218183701,RP_78,000003,ZFP,,14/12/2021,16/11/2021,14/12/2021,0,0.91000000000000,29.0000,29.91000000000000
58400452562,600000349723,218183701,RP_78,000001,ZKWH,,14/02/2022,15/01/2022,14/02/2022,"9,132",0.00000000000000,31.0000,31.00000000000000
58400452562,600000349723,218183701,RP_78,000002,ZKW,,14/02/2022,15/01/2022,14/02/2022,21,0.65000000000000,31.0000,31.65000000000000
